Data Set Name,Display Name,Code,Schema,Table Name,Column Name,Field Type
Agency,Agency County Total Area In Square Miles,,DwEms,Dim_Agency,Agency_County_Total_Area_In_Square_Miles,Number
Agency,Agency Critical Care Flag,,DwEms,Dim_Agency,Agency_Critical_Care_Flag,Boolean
Agency,Agency Daylight Savings Time Use (dAgency.24),dAgency.24,DwEms,Dim_Agency,Agency_Daylight_Savings_Time_Use,Text
Agency,Agency EMS Billable Calls Per Year (dAgency.22),dAgency.22,DwEms,Dim_AgencyYearGroup,Agency_EMS_Billable_Calls_Per_Year,Number
Agency,Agency EMS Billable Calls Per Year Invalid (dAgency.22),dAgency.22,DwEms,Dim_AgencyYearGroup,Agency_EMS_Billable_Calls_Per_Year_Invalid,Number
Agency,Agency EMS Billable Calls Per Year With Not Values (dAgency.22),dAgency.22,DwEms,Dim_AgencyYearGroup,Agency_EMS_Billable_Calls_Per_Year_With_Not_Values,Text
Agency,Agency EMS Dispatch Volume Per Year (dAgency.19),dAgency.19,DwEms,Dim_AgencyYearGroup,Agency_EMS_Dispatch_Volume_Per_Year,Number
Agency,Agency EMS Dispatch Volume Per Year Invalid (dAgency.19),dAgency.19,DwEms,Dim_AgencyYearGroup,Agency_EMS_Dispatch_Volume_Per_Year_Invalid,Number
Agency,Agency EMS Dispatch Volume Per Year With Not Value (dAgency.19),dAgency.19,DwEms,Dim_AgencyYearGroup,Agency_EMS_Dispatch_Volume_Per_Year_With_Not_Value,Text
Agency,Agency EMS Patient Contact Volume Per Year (dAgency.21),dAgency.21,DwEms,Dim_AgencyYearGroup,Agency_EMS_Patient_Contact_Volume_Per_Year,Number
Agency,Agency EMS Patient Contact Volume Per Year Invalid (dAgency.21),dAgency.21,DwEms,Dim_AgencyYearGroup,Agency_EMS_Patient_Contact_Volume_Per_Year_Invalid,Number
Agency,Agency EMS Patient Contact Volume Per Year With Not Values (dAgency.21),dAgency.21,DwEms,Dim_AgencyYearGroup,Agency_EMS_Patient_Contact_Volume_Per_Year_With_Not_Values,Text
Agency,Agency EMS Patient Transport Volume Per Year (dAgency.20),dAgency.20,DwEms,Dim_AgencyYearGroup,Agency_EMS_Patient_Transport_Volume_Per_Year,Number
Agency,Agency EMS Patient Transport Volume Per Year Invalid (dAgency.20),dAgency.20,DwEms,Dim_AgencyYearGroup,Agency_EMS_Patient_Transport_Volume_Per_Year_Invalid,Number
Agency,Agency EMS Patient Transport Volume Per Year With Not Values (dAgency.20),dAgency.20,DwEms,Dim_AgencyYearGroup,Agency_EMS_Patient_Transport_Volume_Per_Year_With_Not_Values,Text
Agency,Agency FDID,,DwEms,Dim_Agency,Agency_FDID,Text
Agency,Agency Fire Department ID Number List (dAgency.26),dAgency.26,DwEms,Dim_Agency,Agency_Fire_Department_ID_Number_List,Text
Agency,Agency Has EMS CAD Integration,,DwEms,Dim_Agency,Agency_Has_EMS_CAD_Integration,Boolean
Agency,Agency Has Fire CAD Integration,,DwEms,Dim_Agency,Agency_Has_Fire_CAD_Integration,Boolean
Agency,Agency HL7 Object Identifier (OID),,DwEms,Dim_Agency,Agency_HL7_OID,Text
Agency,Agency Id Internal,,DwEms,Fact_Agency,Agency_ID_Internal,Text
Agency,Agency Is Demo Service,,DwEms,Dim_Agency,Agency_Is_Demo_Service,Boolean
Agency,Agency Level Of Service (dAgency.11),dAgency.11,DwEms,Dim_Agency,Agency_Level_Of_Service,Text
Agency,Agency Level1,,DwEms,Dim_Agency,Agency_Level1,Text
Agency,Agency Level2,,DwEms,Dim_Agency,Agency_Level2,Text
Agency,Agency Level3,,DwEms,Dim_Agency,Agency_Level3,Text
Agency,Agency Level4,,DwEms,Dim_Agency,Agency_Level4,Text
Agency,Agency Location Active Status,,DwEms,Dim_AgencyLocation,Agency_Location_Active_Status,Boolean
Agency,Agency Location Address (dLocation.06),dLocation.06,DwEms,Dim_AgencyLocation,Agency_Location_Address,Text
Agency,Agency Location Address 2 (dLocation.06),dLocation.06,DwEms,Dim_AgencyLocation,Agency_Location_Address_2,Text
Agency,Agency Location City (dLocation.07),dLocation.07,DwEms,Dim_AgencyLocation,Agency_Location_City,Text
Agency,Agency Location Country (dLocation.11),dLocation.11,DwEms,Dim_AgencyLocation,Agency_Location_Country,Text
Agency,Agency Location County (dLocation.10),dLocation.10,DwEms,Dim_AgencyLocation,Agency_Location_County,Text
Agency,Agency Location Fax Number List (dLocation.12),dLocation.12,DwEms,Dim_AgencyLocation,Agency_Location_Fax_Number_List,Text
Agency,Agency Location Full Address,,DwEms,Dim_AgencyLocation,Agency_Location_Full_Address,Text
Agency,Agency Location Home Phone Number List (dLocation.12),dLocation.12,DwEms,Dim_AgencyLocation,Agency_Location_Home_Phone_Number_List,Text
Agency,Agency Location Latitude (dLocation.04),dLocation.04,DwEms,Dim_AgencyLocation,Agency_Location_Latitude,Number
Agency,Agency Location Longitude (dLocation.04),dLocation.04,DwEms,Dim_AgencyLocation,Agency_Location_Longitude,Number
Agency,Agency Location Mobile Phone Number List (dLocation.12),dLocation.12,DwEms,Dim_AgencyLocation,Agency_Location_Mobile_Phone_Number_List,Text
Agency,Agency Location Name (dLocation.02),dLocation.02,DwEms,Dim_AgencyLocation,Agency_Location_Name,Text
Agency,Agency Location Number (dLocation.03),dLocation.03,DwEms,Dim_AgencyLocation,Agency_Location_Number,Text
Agency,Agency Location Pager Number List (dLocation.12),dLocation.12,DwEms,Dim_AgencyLocation,Agency_Location_Pager_Number_List,Text
Agency,Agency Location Postal Code (dLocation.09),dLocation.09,DwEms,Dim_AgencyLocation,Agency_Location_Postal_Code,Text
Agency,Agency Location Primary Contact,,DwEms,Dim_AgencyLocation,Agency_Location_Primary_Contact,Text
Agency,Agency Location Primary Phone Number (dLocation.12),dLocation.12,DwEms,Dim_AgencyLocation,Agency_Location_Primary_Phone_Number,Text
Agency,Agency Location State (dLocation.08),dLocation.08,DwEms,Dim_AgencyLocation,Agency_Location_State,Text
Agency,Agency Location Target Performance Time In Minutes,,DwEms,Dim_AgencyLocation,Agency_Location_Target_Performance_Time_In_Minutes,Number
Agency,Agency Location Type (dLocation.01),dLocation.01,DwEms,Dim_AgencyLocation,Agency_Location_Type,Text
Agency,Agency Location US National Grid Coordinates (dLocation.05),dLocation.05,DwEms,Dim_AgencyLocation,Agency_Location_US_National_Grid_Coordinates,Text
Agency,Agency Location Work Phone Number List (dLocation.12),dLocation.12,DwEms,Dim_AgencyLocation,Agency_Location_Work_Phone_Number_List,Text
Agency,Agency Location Zone District Description,,DwEms,Dim_AgencyLocation,Agency_Location_Zone_District_Description,Text
Agency,Agency Location Zone District Number,,DwEms,Dim_AgencyLocation,Agency_Location_Zone_District_Number,Text
Agency,Agency Name (dAgency.03),dAgency.03,DwEms,Dim_Agency,Agency_Name,Text
Agency,Agency National Provider Identifier List (dAgency.25),dAgency.25,DwEms,Dim_Agency,Agency_National_Provider_Identifier_List,Text
Agency,Agency NEMSIS Version,,DwEms,Dim_Agency,Reporting_Standard,Text
Agency,Agency No EMS Incidents To Report Created By Name,,DwEms,Dim_AgencyNoEmsIncident,Agency_No_EMS_Incidents_Created_By_Name,Text
Agency,Agency No EMS Incidents To Report Created Date Time,,DwEms,Dim_AgencyNoEmsIncident,Agency_No_EMS_Incidents_Created_Date_Time,Date/Time
Agency,Agency No EMS Incidents To Report Modified By Name,,DwEms,Dim_AgencyNoEmsIncident,Agency_No_EMS_Incidents_Modified_By_Name,Text
Agency,Agency No EMS Incidents To Report Modified Date Time,,DwEms,Dim_AgencyNoEmsIncident,Agency_No_EMS_Incidents_Modified_Date_Time,Date/Time
Agency,Agency No EMS Incidents To Report Month Name,,DwCommonDimensions,Dim_Month,MonthName,Text
Agency,Agency No EMS Incidents To Report Month Number,,DwEms,Dim_AgencyNoEmsIncident,Agency_NoEmsIncident_Month,Number
Agency,Agency No EMS Incidents To Report Year,,DwEms,Dim_AgencyNoEmsIncident,Agency_NoEmsIncident_Year,Text
Agency,Agency No Fire Incidents To Report Created By Name,,DwEms,Dim_AgencyNoFireIncident,Agency_No_Fire_Incidents_Created_By_Name,Text
Agency,Agency No Fire Incidents To Report Created Date Time,,DwEms,Dim_AgencyNoFireIncident,Agency_No_Fire_Incidents_Created_Date_Time,Date/Time
Agency,Agency No Fire Incidents To Report Modified By Name,,DwEms,Dim_AgencyNoFireIncident,Agency_No_Fire_Incidents_Modified_By_Name,Text
Agency,Agency No Fire Incidents To Report Modified Date Time,,DwEms,Dim_AgencyNoFireIncident,Agency_No_Fire_Incidents_Modified_Date_Time,Date/Time
Agency,Agency No Fire Incidents To Report Month Name,,DwCommonDimensions,Dim_Month,MonthName,Text
Agency,Agency No Fire Incidents To Report Month Number,,DwEms,Dim_AgencyNoFireIncident,Agency_NoFireIncident_Month,Number
Agency,Agency No Fire Incidents To Report Year,,DwEms,Dim_AgencyNoFireIncident,Agency_NoFireIncident_Year,Text
Agency,Agency Non-Fire Incidents Created By Name,,DwEms,Dim_AgencyNonFireRelatedIncidents,Agency_Non_Fire_Incidents_Created_By_Name,Text
Agency,Agency Non-Fire Incidents Created Date Time,,DwEms,Dim_AgencyNonFireRelatedIncidents,Agency_Non_Fire_Incidents_Created_Date_Time,Date/Time
Agency,Agency Non-Fire Incidents False Alarm And False Call,,DwEms,Dim_AgencyNonFireRelatedIncidents,Agency_Non_Fire_Incidents_False_Alarm_And_False_Call,Number
Agency,Agency Non-Fire Incidents Good Intent Call,,DwEms,Dim_AgencyNonFireRelatedIncidents,Agency_Non_Fire_Incidents_Good_Intent_Call,Number
Agency,Agency Non-Fire Incidents Hazard Condition,,DwEms,Dim_AgencyNonFireRelatedIncidents,Agency_Non_Fire_Incidents_Hazard_Condition,Number
Agency,Agency Non-Fire Incidents Modified By Name,,DwEms,Dim_AgencyNonFireRelatedIncidents,Agency_Non_Fire_Incidents_Modified_By_Name,Text
Agency,Agency Non-Fire Incidents Modified Date Time,,DwEms,Dim_AgencyNonFireRelatedIncidents,Agency_Non_Fire_Incidents_Modified_Date_Time,Date/Time
Agency,Agency Non-Fire Incidents Mutual Aid,,DwEms,Dim_AgencyNonFireRelatedIncidents,Agency_Non_Fire_Incidents_Mutual_Aid,Number
Agency,Agency Non-Fire Incidents Over-Pressure Rupture,,DwEms,Dim_AgencyNonFireRelatedIncidents,Agency_Non_Fire_Incidents_Overpressure_Rupture,Number
Agency,Agency Non-Fire Incidents Rescue And Emergency Medical Service Incident,,DwEms,Dim_AgencyNonFireRelatedIncidents,Agency_Non_Fire_Incidents_Rescue_And_Emergency_Medical_Service_Incident,Number
Agency,Agency Non-Fire Incidents Service Call,,DwEms,Dim_AgencyNonFireRelatedIncidents,Agency_Non_Fire_Incidents_Service_Call,Number
Agency,Agency Non-Fire Incidents Severe Weather And Natural Disaster,,DwEms,Dim_AgencyNonFireRelatedIncidents,Agency_Non_Fire_Incidents_Severe_Weather_And_Natural_Disaster,Number
Agency,Agency Non-Fire Incidents Special Incident Type,,DwEms,Dim_AgencyNonFireRelatedIncidents,Agency_Non_Fire_Incidents_Special_Incident_Type,Number
Agency,Agency Non-Fire Related Incidents ID Internal,,DwEms,Dim_AgencyNonFireRelatedIncidents,Agency_NonFireRelatedIncidents_ID_Internal,Number
Agency,Agency Non-Fire Related Incidents Month Name,,DwCommonDimensions,Dim_Month,MonthName,Text
Agency,Agency Non-Fire Related Incidents Month Number,,DwEms,Dim_AgencyNonFireRelatedIncidents,Agency_NonFireRelatedIncidents_Month,Number
Agency,Agency Non-Fire Related Incidents Year Number,,DwEms,Dim_AgencyNonFireRelatedIncidents,Agency_NonFireRelatedIncidents_Year,Text
Agency,Agency Number (dAgency.02),dAgency.02,DwEms,Dim_Agency,Agency_Number,Text
Agency,Agency Organization Status (dAgency.12),dAgency.12,DwEms,Dim_Agency,Agency_Organziation_Status,Text
Agency,Agency Organizational Tax Status (dAgency.14),dAgency.14,DwEms,Dim_Agency,Agency_Organizational_Tax_Status,Text
Agency,Agency Organizational Type (dAgency.13),dAgency.13,DwEms,Dim_Agency,Agency_Organizational_Type,Text
Agency,Agency Other Types Of Service List (dAgency.10),dAgency.10,DwEms,Dim_Agency,Agency_Other_Types_Of_Service_List,Text
Agency,Agency Primary Type Of Service (dAgency.09),dAgency.09,DwEms,Dim_Agency,Agency_Primary_Type_Of_Service,Text
Agency,Agency Service Area Agency Service Area Counties List (dAgency.06),dAgency.06,DwEms,Dim_AgencyServiceGroup,Agency_Service_Area_Agency_Service_Area_Counties_List,Text
Agency,Agency Service Area Census Tracts List (dAgency.07),dAgency.07,DwEms,Dim_AgencyServiceGroup,Agency_Service_Area_Census_Tracts_List,Text
Agency,Agency Service Area Postal Codes List (dAgency.08),dAgency.08,DwEms,Dim_AgencyServiceGroup,Agency_Service_Area_Postal_Codes_List,Text
Agency,Agency Service Area State,,DwEms,Dim_AgencyServiceGroup,Agency_Service_Area_State,Text
Agency,Agency Service Area State GNIS Code,,DwEms,Dim_AgencyServiceGroup,Agency_Service_Area_State_GNIS_Code,Text
Agency,Agency Service Area State List (dAgency.05),dAgency.05,DwEms,Dim_Agency,Agency_Service_Area_State_List,Text
Agency,Agency State (dAgency.04),dAgency.04,DwEms,Dim_Agency,Agency_State,Text
Agency,Agency State Name Reporting To,,DwEms,Dim_Agency,Agency_State_Name_Reporting_To,Text
Agency,Agency Stats Average Community Paramedic Visit Billed,,DwEms,Dim_AgencyYearGroup,Agency_Stats_Average_Community_Paramedic_Visit_Billed,Number
Agency,Agency Stats Average Community Paramedic Visit Billed With Not Values,,DwEms,Dim_AgencyYearGroup,Agency_Stats_Average_Community_Paramedic_Visit_Billed_With_Not_Values,Text
Agency,Agency Stats Average Community Paramedic Visit Cost,,DwEms,Dim_AgencyYearGroup,Agency_Stats_Average_Community_Paramedic_Visit_Cost,Number
Agency,Agency Stats Average Community Paramedic Visit Cost With Not Values,,DwEms,Dim_AgencyYearGroup,Agency_Stats_Average_Community_Paramedic_Visit_Cost_With_Not_Values,Text
Agency,Agency Time Zone (dAgency.23),dAgency.23,DwEms,Dim_Agency,Agency_Time_Zone,Text
Agency,Agency Total Primary Service Area Size Square Kilometers (dAgency.16),dAgency.16,DwEms,Dim_AgencyYearGroup,Agency_Total_Primary_Service_Area_Size_Square_Kilometers,Number
Agency,Agency Total Primary Service Area Size Square Kilometers Invalid (dAgency.16),dAgency.16,DwEms,Dim_AgencyYearGroup,Agency_Total_Primary_Service_Area_Size_Square_Kilometers_Invalid,Number
Agency,Agency Total Primary Service Area Size Square Kilometers Range (dAgency.16),dAgency.16,DwEms,Dim_AgencyYearGroup,Agency_Total_Primary_Service_Area_Size_Square_Kilometers_Range,Text
Agency,Agency Total Primary Service Area Size Square Kilometers Range Sort Order (dAgency.16),dAgency.16,DwEms,Dim_AgencyYearGroup,Agency_Total_Primary_Service_Area_Size_Square_Kilometers_Range_Sort_Order,Number
Agency,Agency Total Primary Service Area Size Square Kilometers With Not Values (dAgency.16),dAgency.16,DwEms,Dim_AgencyYearGroup,Agency_Total_Primary_Service_Area_Size_Square_Kilometers_With_Not_Values,Text
Agency,Agency Total Primary Service Area Size Square Miles (dAgency.16),dAgency.16,DwEms,Dim_AgencyYearGroup,Agency_Total_Primary_Service_Area_Size_Square_Miles,Number
Agency,Agency Total Primary Service Area Size Square Miles Invalid (dAgency.16),dAgency.16,DwEms,Dim_AgencyYearGroup,Agency_Total_Primary_Service_Area_Size_Square_Miles_Invalid,Number
Agency,Agency Total Primary Service Area Size Square Miles Range (dAgency.16),dAgency.16,DwEms,Dim_AgencyYearGroup,Agency_Total_Primary_Service_Area_Size_Square_Miles_Range,Text
Agency,Agency Total Primary Service Area Size Square Miles Range Sort Order (dAgency.16),dAgency.16,DwEms,Dim_AgencyYearGroup,Agency_Total_Primary_Service_Area_Size_Square_Miles_Range_Sort_Order,Number
Agency,Agency Total Primary Service Area Size Square Miles With Not Values (dAgency.16),dAgency.16,DwEms,Dim_AgencyYearGroup,Agency_Total_Primary_Service_Area_Size_Square_Miles_With_Not_Values,Text
Agency,Agency Total Service Area Population (dAgency.17),dAgency.17,DwEms,Dim_AgencyYearGroup,Agency_Total_Service_Area_Population,Number
Agency,Agency Total Service Area Population Invalid (dAgency.17),dAgency.17,DwEms,Dim_AgencyYearGroup,Agency_Total_Service_Area_Population_Invalid,Number
Agency,Agency Total Service Area Population Range (dAgency.17),dAgency.17,DwEms,Dim_AgencyYearGroup,Agency_Total_Service_Area_Population_Range,Text
Agency,Agency Total Service Area Population Range Sort Order (dAgency.17),dAgency.17,DwEms,Dim_AgencyYearGroup,Agency_Total_Service_Area_Population_Range_Sort_Order,Number
Agency,Agency Total Service Area Population With Not Values (dAgency.17),dAgency.17,DwEms,Dim_AgencyYearGroup,Agency_Total_Service_Area_Population_With_Not_Values,Text
Agency,Agency Unique State ID (dAgency.01),dAgency.01,DwEms,Dim_Agency,Agency_Unique_State_ID,Text
Agency,Agency Urban Influence Code,,DwEms,Dim_Agency,Agency_Urban_Influence_Code,Number
Agency,Agency Urban Influence Description,,DwEms,Dim_Agency,Agency_Urban_Influence_Description,Text
Agency,Agency Urbanicity,,DwEms,Dim_Agency,Agency_Urbanicity,Text
Agency,Alarm Active Flag,,DwEms,Dim_Alarm,Alarm_Active_Flag,Boolean
Agency,Alarm Description,,DwEms,Dim_Alarm,Alarm_Description,Text
Agency,Alarm Name,,DwEms,Dim_Alarm,Alarm_Name,Text
Agency,Alarm Sort Order,,DwEms,Dim_Alarm,Alarm_Sort_Order,Number
Agency,Area Of Operation,,DwEms,Dim_AreaOfOperation,AreaOfOperation,Text
Agency,Area Of Operation Active Flag,,DwEms,Dim_AreaOfOperation,AreaOfOperation_Active_Flag,Boolean
Agency,Area Of Operation Description,,DwEms,Dim_AreaOfOperation,AreaOfOperation_Description,Text
Agency,Area Of Operation Sort Order,,DwEms,Dim_AreaOfOperation,AreaOfOperation_Sort_Order,Number
Agency,Call Sign Active Flag,,DwEms,Dim_CallSign,CallSign_Active_Flag,Boolean
Agency,Call Sign Sort Order,,DwEms,Dim_CallSign,CallSign_Sort_Order,Number
Agency,Call Sign Text,,DwEms,Dim_CallSign,CallSign_Text,Text
Agency,Config Billing Status (dConfiguration.12),dConfiguration.12,DwEms,Dim_Configuration,Config_Billing_Status,Text
Agency,Config Dispatch Center (dConfiguration.17),dConfiguration.17,DwEms,Dim_Config_Config_Dispatch_Center,Config_Dispatch_Center,Text
Agency,Config Dispatch Center List (dConfiguration.17),dConfiguration.17,DwEms,Dim_Configuration,Config_Dispatch_Center_List,Text
Agency,Config EMD Vendor (dConfiguration.14),dConfiguration.14,DwEms,Dim_Configuration,Config_EMD_Vendor,Text
Agency,Config Emergency Medical Dispatch Provided To EMS Agency Service Area (dConfiguration.13),dConfiguration.13,DwEms,Dim_Configuration,Emergency_Medical_Dispatch_Provided_to_EMS_Agency_Service_Area,Text
Agency,Config Ems Agency Specialty Service Capability (dConfiguration.11),dConfiguration.11,DwEms,Dim_Config_EMS_Agency_Specialty_Service_Capability,Config_EMS_Agency_Specialty_Service_Capability,Text
Agency,Config Ems Agency Specialty Service Capability List (dConfiguration.11),dConfiguration.11,DwEms,Dim_Configuration,Config_EMS_Agency_Specialty_Service_Capability_List,Text
Agency,Config Patient Monitoring Capability (dConfiguration.15),dConfiguration.15,DwEms,Dim_Config_Patient_Monitoring_Capability,Config_Patient_Monitoring_Capability,Text
Agency,Config Patient Monitoring Capability List (dConfiguration.15),dConfiguration.15,DwEms,Dim_Configuration,Config_Patient_Monitoring_Capability_List,Text
Agency,Config State Associated With Certification Licensure Levels/This Configuration (dConfiguration.01),dConfiguration.01,DwEms,Dim_Configuration,State_Associated_with_Certification_Licensure_Levels,Text
Agency,Daily Roster Active Flag,,DwEms,Dim_DailyRoster,DailyRoster_Active_Flag,Boolean
Agency,Daily Roster Role,,DwEms,Dim_DailyRoster,DailyRoster_Role,Text
Agency,District Active Flag,,DwEms,Dim_DistrictZone,District_Active_Flag,Boolean
Agency,District Description,,DwEms,Dim_DistrictZone,District_Description,Text
Agency,District Number,,DwEms,Dim_DistrictZone,District_number,Text
Agency,District Target Performance Time,,DwEms,Dim_DistrictZone,District_TargetPerformanceTime,Text
Agency,District Type,,DwEms,Dim_DistrictZone,District_Type,Text
Agency,EMS Agency Medication Permitted for each Certification level  (dConfiguration.09),dConfiguration.09,DwEms,Dim_Configuration_EMS_Agency_Medication,EMS_Agency_Medication,Text
Agency,EMS Agency Procedures Permitted for each Certification level (dConfiguration.07),dConfiguration.07,DwEms,Dim_Configuration_EMS_Agency_Procedures,EMS_Agency_Procedures,Text
Agency,Ems Certification Levels Permitted To Perform Each Medication (dConfiguration.08),dConfiguration.08,DwEms,Dim_Configuration_EMS_Agency_Medication,EMS_Certification_Levels_Permitted_to_Perform_Each_Medication,Text
Agency,Ems Certification Levels Permitted To Perform Each Procedure (dConfiguration.06),dConfiguration.06,DwEms,Dim_Configuration_EMS_Agency_Procedures,EMS_Certification_Levels_Permitted_to_Perform_Each_Procedure,Text
Agency,EMS Incident Count,,DwEms,Dim_Agency_Info_By_Month,EMS_Incident_Count,Number
Agency,Facility Active Status,,DwEms,Dim_Facility,Facility_Active_Status,Boolean
Agency,Facility Address (dFacility.07),dFacility.07,DwEms,Dim_Facility,Facility_Address,Text
Agency,Facility Address 2 (dFacility.07),dFacility.07,DwEms,Dim_Facility,Facility_Address_2,Text
Agency,Facility Apartment (dFacility.06),dFacility.06,DwEms,Dim_Facility,Facility_Apartment,Text
Agency,Facility Base Hospital Flag,,DwEms,Dim_Facility,Facility_Base_Hospital_Flag,Boolean
Agency,Facility City (dFacility.08),dFacility.08,DwEms,Dim_Facility,Facility_City,Text
Agency,Facility Country (dFacility.12),dFacility.12,DwEms,Dim_Facility,Facility_Country,Text
